"edge.id","tail","head","onset","terminus"
"166","4","85","2014-07-01","2020-06-30"
"167","41","7","2014-07-01","2019-06-30"
"168","41","84","2016-07-01","2020-06-30"
"169","42","95","2014-07-01","2015-06-30"
"170","42","96","2015-07-01","2016-06-30"
"171","42","97","2016-07-01","2020-06-30"
"172","43","106","2014-07-01","2020-06-30"
"173","44","91","2014-07-01","2019-06-30"
"174","45","81","2014-07-01","2020-06-30"
"175","45","82","2016-07-01","2019-06-30"
"176","46","106","2014-07-01","2020-06-30"
"177","48","91","2014-07-01","2020-06-30"
"178","49","103","2014-07-01","2017-06-30"
"179","49","104","2017-07-01","2020-06-30"
"180","49","95","2014-07-01","2015-06-30"
"181","49","96","2015-07-01","2016-06-30"
"182","5","85","2014-07-01","2020-06-30"
"183","50","86","2014-07-01","2020-06-30"
"184","50","87","2015-07-01","2019-06-30"
"185","51","90","2014-07-01","2020-06-30"
"186","52","106","2014-07-01","2020-06-30"
"187","53","7","2014-07-01","2019-06-30"
"188","53","92","2018-07-01","2020-06-30"
"189","54","85","2014-07-01","2020-06-30"
"190","55","91","2014-07-01","2020-06-30"
"191","56","91","2014-07-01","2020-06-30"
"192","57","91","2014-07-01","2020-06-30"
"193","58","85","2014-07-01","2020-06-30"
"194","59","106","2014-07-01","2020-06-30"
"195","6","101","2018-07-01","2019-06-30"
"196","6","7","2019-07-01","2020-06-30"
"197","6","88","2014-07-01","2018-06-30"
"198","60","90","2014-07-01","2020-06-30"
"199","61","90","2014-07-01","2019-06-30"
"200","62","7","2014-07-01","2019-06-30"
"201","62","92","2018-07-01","2020-06-30"
"202","63","100","2019-07-01","2020-06-30"
"203","63","98","2014-07-01","2018-06-30"
"204","63","99","2018-07-01","2019-06-30"
"205","64","107","2014-07-01","2020-06-30"
"206","65","7","2014-07-01","2019-06-30"
"207","65","84","2016-07-01","2020-06-30"
"208","66","103","2014-07-01","2017-06-30"
"209","66","104","2017-07-01","2020-06-30"
"210","67","91","2014-07-01","2020-06-30"
"211","68","100","2019-07-01","2020-06-30"
"212","68","98","2014-07-01","2018-06-30"
"213","68","99","2018-07-01","2019-06-30"
"214","69","103","2014-07-01","2017-06-30"
"215","69","104","2017-07-01","2020-06-30"
"216","69","106","2014-07-01","2019-06-30"
"217","70","103","2014-07-01","2017-06-30"
"218","70","104","2017-07-01","2020-06-30"
"219","71","103","2014-07-01","2017-06-30"
"220","71","104","2017-07-01","2020-06-30"
"221","72","101","2018-07-01","2019-06-30"
"222","72","7","2019-07-01","2020-06-30"
"223","72","88","2014-07-01","2018-06-30"
"224","73","106","2014-07-01","2020-06-30"
"225","74","95","2014-07-01","2015-06-30"
"226","74","96","2015-07-01","2016-06-30"
"227","74","97","2016-07-01","2020-06-30"
"228","75","89","2014-07-01","2020-06-30"
"229","76","106","2014-07-01","2019-06-30"
"230","77","81","2014-07-01","2020-06-30"
"231","77","82","2016-07-01","2019-06-30"
"232","78","7","2014-07-01","2019-06-30"
"233","79","85","2014-07-01","2020-06-30"
"234","8","7","2014-07-01","2019-06-30"
"235","8","84","2016-07-01","2020-06-30"
"236","80","85","2014-07-01","2019-06-30"
"237","9","7","2014-07-01","2019-06-30"
"238","9","84","2016-07-01","2020-06-30"
